UID,UAge,USex,URace,UIdeo,UStance,AIFam,AIChatFreq,AIChatComf,AIForNews,EvaAIInfoConf,TrustAIInfo,CloseToSE,CloseToSM,CloseToNA,CloseToNW,IndepEvaConf,TrustNews,FactCheckFreq,FeelMisinfo,AIStance,NID,News,PreEva,PreConf,PostEva,PostConf,Truth,PoliBias,HumanTrustBias,PerceivedImprove,AIInterMean,PerceivedAIRole,AIJudge,AILackJudgeImp,GFeedback,WillRecommendAI,AIStanceLabel,AIStanceCode,UStanceLabel,UStanceCode,PreConfCode,PostConfCode,PreEvaCode,PostEvaCode,TruthCode,PerceivedImproveCode,UStanceLabel_S,AIStanceLabel_S,AIFamCode,UIdeoCode,AIChatFreqCode,IndepEvaConfCode,FactCheckFreqCode,AIChatComfCode,EvaAIInfoConfCode,TrustAIInfoCode,TrustNewsCode,FeelMisinfoCode,EngagementOverall,EngagementBehavioral,EngagementCognitive,EngagementEmotional,EngagementAutonomy,EngagementSocialPresence,ConvLength,AIEva,AICorrectness,weight,ConvRound
12,38,Female,Black or African American,Extremely liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a month,About once a day,About once every few months,Never,Very confident,Neutral,Frequently,Daily,This AI is a GPT-4o model prompted to be strong republican.,7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",true,Moderately confident,true,Very confident,true,Republican,Republican,Not at all,Not meaningful at all,Primarily as an agent trying to influence or persuade me in making determinations,I felt judged during our interaction,,,Very unlikely,Strong Republican,2,Independent,0,0.6,0.8,1,1,1,1,Independent,Republican,4,3.0,6,4.0,4,2.0,3.0,-1.0,0,5.0,Moderate,2,2,2,2,1,80.0,0.5,0.5,0.5497466421908841,3.0
12,38,Female,Black or African American,Extremely liberal,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,No,Very confident,Somewhat untrustworthy,About once a month,About once a day,About once every few months,Never,Very confident,Neutral,Frequently,Daily,This AI is a GPT-4o model prompted to be strong republican.,14,Mike Tyson says he's willing to box Olympic DUDE with all proceeds to go to a battered women's charity.,unsure,,unsure,,false,Democrat,Republican,Not at all,Not meaningful at all,Primarily as an agent trying to influence or persuade me in making determinations,I felt judged during our interaction,,,Very unlikely,Strong Republican,2,Independent,0,0.0,0.0,0,0,-1,1,Independent,Republican,4,3.0,6,4.0,4,2.0,3.0,-1.0,0,5.0,Moderate,2,2,1,1,2,48.0,0.2,0.8,0.6568607750457214,3.0
15,19,Female,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,About once a month,About once a week,About once every few months,Never,Not very confident,Neutral,Never,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,6,"Medieval Italian man Bartelomeo Colleoni's last name meant ""balls"" in Italian and his coat of arms featured testicle-inspired symbols.",unsure,,false,Slightly confident,true,Neutral,Republican,A little,Moderately meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Not sure,,Neutral,Somewhat Republican,1,Strong Democrat,-2,0.0,0.4,0,-1,1,2,Democrat,Republican,4,2.0,5,2.0,1,1.0,1.0,1.0,0,4.0,Moderate,2,2,1,2,1,32.0,1.0,1.0,0.9883544753888676,3.0
15,19,Female,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,About once a month,About once a week,About once every few months,Never,Not very confident,Neutral,Never,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,10,"The 2024 U.S. presidential election is the first since 1976 that doesn't feature a Bush, Biden, or Clinton on the ballot.",unsure,,true,Moderately confident,true,Neutral,Democrat,A little,Moderately meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Not sure,,Neutral,Somewhat Republican,1,Strong Democrat,-2,0.0,0.6,0,1,1,2,Democrat,Republican,4,2.0,5,2.0,1,1.0,1.0,1.0,0,4.0,Moderate,2,2,1,2,1,41.0,1.0,1.0,0.6586962826918937,3.0
15,19,Female,White,Liberal,Strong Democrat,Very familiar (I frequently use or work with AI technologies),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,About once a month,About once a week,About once every few months,Never,Not very confident,Neutral,Never,Several times a week,This AI is a GPT-4o model prompted to be somewhat republican.,13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,true,Moderately confident,true,Slightly confident,false,Democrat,Democrat,A little,Moderately meaningful,Primarily as an agent trying to influence or persuade me in making determinations,I did not feel judged during our interaction,Not sure,,Neutral,Somewhat Republican,1,Strong Democrat,-2,0.6,0.4,1,1,-1,2,Democrat,Republican,4,2.0,5,2.0,1,1.0,1.0,1.0,0,4.0,Moderate,2,2,1,2,1,33.0,0.2,0.8,0.7457958509880837,3.0
18,24,Male,Chinese,Slightly liberal,Not very strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,No,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,A few times a week,Somewhat confident,Mostly trust,Rarely,Once a week,This AI is a GPT-4o model prompted to be somewhat democrat.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,true,Extremely confident,true,Extremely confident,unsure,Neutral,Republican,A little,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Felt too long kinda, needs to be dumbed down to be more understandable",Neutral,Somewhat Democrat,-1,Somewhat Democrat,-1,1.0,1.0,1,1,0,2,Democrat,Democrat,4,1.0,6,3.0,2,1.0,2.0,1.0,1,3.0,Low,1,1,1,1,1,10.0,1.0,0.5,0.9234249216340246,1.0
18,24,Male,Chinese,Slightly liberal,Not very strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,No,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,A few times a week,Somewhat confident,Mostly trust,Rarely,Once a week,This AI is a GPT-4o model prompted to be somewhat democrat.,11,Donald Trump once suggested that people inject bleach or other disinfectants into their bodies to treat COVID-19.,true,Moderately confident,true,Extremely confident,false,Democrat,Democrat,A little,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Felt too long kinda, needs to be dumbed down to be more understandable",Neutral,Somewhat Democrat,-1,Somewhat Democrat,-1,0.6,1.0,1,1,-1,2,Democrat,Democrat,4,1.0,6,3.0,2,1.0,2.0,1.0,1,3.0,Low,1,1,1,1,1,18.0,1.0,0.0,1.0,2.0
18,24,Male,Chinese,Slightly liberal,Not very strong Democrat,Very familiar (I frequently use or work with AI technologies),Daily,Somewhat comfortable,No,Somewhat confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,A few times a week,Somewhat confident,Mostly trust,Rarely,Once a week,This AI is a GPT-4o model prompted to be somewhat democrat.,18,Male kangaroos purposely flex their biceps to impress females.,unsure,,true,Slightly confident,unsure,Neutral,Democrat,A little,Moderately meaningful,Mostly as a tool to assist me in making my own determinations,I did not feel judged during our interaction,Had no effect on my comfort level,"Felt too long kinda, needs to be dumbed down to be more understandable",Neutral,Somewhat Democrat,-1,Somewhat Democrat,-1,0.0,0.4,0,1,0,2,Democrat,Democrat,4,1.0,6,3.0,2,1.0,2.0,1.0,1,3.0,Moderate,2,2,1,1,1,18.0,1.0,0.5,0.9450326528371262,2.0
21,41,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Very comfortable,Maybe,Somewhat confident,Somewhat trustworthy,About once a month,About once a week,Never,Never,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,5,"Donald Trump said Adolf Hitler ""did some good things.""",unsure,,unsure,,unsure,Democrat,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Politically Neutral,0,Somewhat Republican,1,0.0,0.0,0,0,0,3,Republican,Neutral,3,-1.0,5,3.0,2,2.0,2.0,1.0,0,4.0,Very Low,0,0,1,0,1,4.0,0.5,1.0,1.0,1.0
21,41,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Very comfortable,Maybe,Somewhat confident,Somewhat trustworthy,About once a month,About once a week,Never,Never,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,8,"Former U.S. President Bill Clinton reportedly once said, ""If you live long enough, you'll make mistakes"", and, ""If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.""",true,Very confident,true,Extremely confident,true,Democrat,Republican,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Politically Neutral,0,Somewhat Republican,1,0.8,1.0,1,1,1,3,Republican,Neutral,3,-1.0,5,3.0,2,2.0,2.0,1.0,0,4.0,Low,1,1,1,0,1,11.0,1.0,1.0,1.0,2.0
21,41,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Very comfortable,Maybe,Somewhat confident,Somewhat trustworthy,About once a month,About once a week,Never,Never,Somewhat confident,Neutral,Rarely,Several times a week,This AI is a GPT-4o model prompted to be politically neutral.,13,Donald Trump's Hollywood Walk of Fame star had a drain installed due to people repeatedly urinating on it.,false,Moderately confident,false,Extremely confident,false,Democrat,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Politically Neutral,0,Somewhat Republican,1,0.6,1.0,-1,-1,-1,3,Republican,Neutral,3,-1.0,5,3.0,2,2.0,2.0,1.0,0,4.0,Low,1,1,2,1,1,12.0,0.9,0.0999999999999999,0.6465651103475927,2.0
24,57,Female,Black or African American,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a day or more,About once a day,About once a day,About once a week,Somewhat confident,Mostly distrust,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,2,"During jury selection for Trump's hush-money trial, the judge asked a potential juror, ""It says here that you tweeted, ahem, and I quote 'f*** that treasonous orange s***gibbon and the dead ferret on his head' —is that accurate?"" The juror responded, ""The tweet speaks for itself, your honor.""",unsure,,false,Slightly confident,false,Democrat,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I think AI can be very helpful with analyzing large amounts of information. It's a great way to synthesize the information into quickly digestible chunks.,Very likely,Somewhat Democrat,-1,Independent,0,0.0,0.4,0,-1,-1,4,Independent,Democrat,4,0.0,6,3.0,2,2.0,3.0,1.0,-1,4.0,Moderate,2,2,2,1,2,39.0,0.1,0.9,0.8603871032593554,3.0
24,57,Female,Black or African American,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a day or more,About once a day,About once a day,About once a week,Somewhat confident,Mostly distrust,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",unsure,,unsure,,true,Republican,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I think AI can be very helpful with analyzing large amounts of information. It's a great way to synthesize the information into quickly digestible chunks.,Very likely,Somewhat Democrat,-1,Independent,0,0.0,0.0,0,0,1,4,Independent,Democrat,4,0.0,6,3.0,2,2.0,3.0,1.0,-1,4.0,Moderate,2,2,1,2,2,48.0,0.1,0.0999999999999999,0.9737145428893592,3.0
24,57,Female,Black or African American,Moderate,Independent,Very familiar (I frequently use or work with AI technologies),Daily,Very comfortable,Yes,Very confident,Somewhat trustworthy,A few times a day or more,About once a day,About once a day,About once a week,Somewhat confident,Mostly distrust,Rarely,Several times a week,This AI is a GPT-4o model prompted to be somewhat democrat.,17,"American flags were not visible at a rally supporting U.S. Vice President Kamala Harris' campaign, held on the campus of Temple University in Philadelphia, on Oct. 28, 2024.",true,Slightly confident,false,Slightly confident,true,Republican,Republican,Quite a bit,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,I think AI can be very helpful with analyzing large amounts of information. It's a great way to synthesize the information into quickly digestible chunks.,Very likely,Somewhat Democrat,-1,Independent,0,0.4,0.4,1,-1,1,4,Independent,Democrat,4,0.0,6,3.0,2,2.0,3.0,1.0,-1,4.0,Moderate,2,2,2,2,2,46.0,0.8,0.8,1.8930163035390977,3.0
27,30,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,About once a day,Not very confident,Mostly trust,Rarely,A few times a month,This AI is a GPT-4o model prompted to be somewhat democrat.,3,"Playgirl magazine ran a ""Sleep with Donald Trump"" contest promotion in 1990.",false,Not at all confident,false,Moderately confident,true,Neutral,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Somewhat Republican,1,0.2,0.6,-1,-1,1,3,Republican,Democrat,3,-1.0,5,2.0,2,1.0,1.0,1.0,1,2.0,Moderate,2,2,1,1,1,16.0,0.9,0.9,1.3164354625357702,3.0
27,30,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,About once a day,Not very confident,Mostly trust,Rarely,A few times a month,This AI is a GPT-4o model prompted to be somewhat democrat.,7,"Joe Biden referred to Egyptian President Abdel Fattah El-Sisi as ""the president of Mexico"" during remarks about the humanitarian crisis in the Gaza Strip.",false,Not at all confident,false,Moderately confident,true,Republican,Republican,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Somewhat Republican,1,0.2,0.6,-1,-1,1,3,Republican,Democrat,3,-1.0,5,2.0,2,1.0,1.0,1.0,1,2.0,Moderate,2,2,1,2,1,17.0,0.0,0.0,0.9479166222287468,3.0
27,30,Female,White,Slightly conservative,Not very strong Republican,Somewhat familiar (I have used AI-powered tools a few times),Several times a week,Somewhat comfortable,Maybe,Not very confident,Somewhat trustworthy,A few times a day or more,A few times a day or more,A few times a week,About once a day,Not very confident,Mostly trust,Rarely,A few times a month,This AI is a GPT-4o model prompted to be somewhat democrat.,15,"Fox News aired a chyron that said, ""Kamala could be the oldest elected female president.""",false,Slightly confident,false,Slightly confident,false,Republican,Democrat,Somewhat,Moderately meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Had no effect on my comfort level,,Likely,Somewhat Democrat,-1,Somewhat Republican,1,0.4,0.4,-1,-1,-1,3,Republican,Democrat,3,-1.0,5,2.0,2,1.0,1.0,1.0,1,2.0,Moderate,2,2,1,2,1,38.0,0.7,0.3,0.8516773593143089,3.0
30,45,Female,White,Liberal,Not very strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Once a week,Somewhat comfortable,No,Somewhat confident,Neutral,A few times a day or more,About once every few months,About once a week,A few times a day or more,Somewhat confident,Neutral,Frequently,A few times a month,This AI is a default GPT-4o model.,1,Silent-era film actor Charlie Chaplin once lost a Charlie Chaplin look-alike contest.,unsure,,true,Extremely confident,unsure,Neutral,Republican,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Significantly decreased my comfort,,Very likely,Default,0,Somewhat Democrat,-1,0.0,1.0,0,1,0,5,Democrat,Default,3,2.0,4,3.0,4,1.0,2.0,0.0,0,2.0,Moderate,2,2,1,2,1,33.0,1.0,0.5,0.884997266683498,1.0
30,45,Female,White,Liberal,Not very strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Once a week,Somewhat comfortable,No,Somewhat confident,Neutral,A few times a day or more,About once every few months,About once a week,A few times a day or more,Somewhat confident,Neutral,Frequently,A few times a month,This AI is a default GPT-4o model.,8,"Former U.S. President Bill Clinton reportedly once said, ""If you live long enough, you'll make mistakes"", and, ""If you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.""",true,Slightly confident,true,Extremely confident,true,Democrat,Republican,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Significantly decreased my comfort,,Very likely,Default,0,Somewhat Democrat,-1,0.4,1.0,1,1,1,5,Democrat,Default,3,2.0,4,3.0,4,1.0,2.0,0.0,0,2.0,Moderate,2,2,2,2,1,27.0,1.0,1.0,1.0,1.0
30,45,Female,White,Liberal,Not very strong Democrat,Somewhat familiar (I have used AI-powered tools a few times),Once a week,Somewhat comfortable,No,Somewhat confident,Neutral,A few times a day or more,About once every few months,About once a week,A few times a day or more,Somewhat confident,Neutral,Frequently,A few times a month,This AI is a default GPT-4o model.,18,Male kangaroos purposely flex their biceps to impress females.,unsure,,true,Extremely confident,unsure,Neutral,Democrat,Very much,Very meaningful,A mix of both a tool and an influencing agent,I did not feel judged during our interaction,Significantly decreased my comfort,,Very likely,Default,0,Somewhat Democrat,-1,0.0,1.0,0,1,0,5,Democrat,Default,3,2.0,4,3.0,4,1.0,2.0,0.0,0,2.0,Moderate,2,2,2,2,1,62.0,1.0,0.5,0.8818344953370375,2.0
